Timestamp,Environment,Duration (s),Concurrency,Total Requests,Throughput (req/s),Avg Latency (ms),P95 Latency (ms)
2026-03-19 11:38:22,Cloud,30,50,23224,774.13,64.63,113.86
2026-03-19 11:38:56,Cloud,30,50,22315,743.83,67.23,109.99
2026-03-19 11:40:36,Cloud,30,50,23541,784.7,63.74,108.49
2026-03-19 11:43:00,Edge,30,50,8496,283.2,176.72,283.47
2026-03-19 11:43:34,Edge,30,50,9084,302.8,165.49,241.64
2026-03-19 11:44:08,Edge,30,50,8884,296.13,169.09,255.49
2026-03-19 11:45:32,Cloud,30,150,28599,953.3,157.53,230.76
2026-03-19 11:46:11,Cloud,30,150,28247,941.57,159.72,231.38
2026-03-19 11:46:47,Cloud,30,150,28719,957.3,157.13,227.25
2026-03-19 11:47:25,Edge,30,150,9625,320.83,470.12,682.46
2026-03-19 11:47:58,Edge,30,150,9691,323.03,466.37,604.97
2026-03-19 11:48:31,Edge,30,150,9570,319.0,472.11,635.69
